City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,port moresby,-9.4431,147.1797,22.87,90,95,4.05,PG,1690661641
134,berdigestyakh,62.0989,126.6992,12.04,74,28,2.1,RU,1690661641
135,la gi,10.6667,107.7833,25.21,90,99,4.31,VN,1690661641
136,sarkisla,39.3519,36.4098,17.26,58,0,1.96,TR,1690661641
137,afaahiti,-17.75,-149.2833,26.93,76,87,11.13,PF,1690661642
138,mount gambier,-37.8333,140.7667,12.0,86,100,5.7,AU,1690661347
139,kiunga,-6.1219,141.2906,22.11,99,100,1.65,PG,1690661642
140,lompoc,34.6391,-120.4579,36.68,60,11,2.24,US,1690661642
141,kruisfontein,-34.0033,24.7314,11.6,66,100,13.27,ZA,1690661643
142,ibresi,55.2961,47.0394,17.74,95,100,3.43,RU,1690661643
143,lhasa,29.65,91.1,15.64,69,100,1.61,CN,1690661643
144,akureyri,65.6835,-18.0878,11.96,87,75,3.6,IS,1690661643
145,isla vista,34.4133,-119.861,36.81,56,10,3.84,US,1690661644
146,dwarka,22.2394,68.9678,27.63,84,86,9.83,IN,1690661644
147,ribeira grande,38.5167,-28.7,25.43,83,20,5.14,PT,1690661644
148,dapa,9.7594,126.0531,27.79,78,100,1.72,PH,1690661644
149,hithadhoo,-0.6,73.0833,27.01,79,100,4.71,MV,1690661645
150,sidney,-33.8679,151.2073,14.66,76,12,2.06,AU,1690661390
151,fort mcmurray,56.7268,-111.381,24.77,38,0,4.63,CA,1690661645
152,kosh-agach,50.0,88.6667,8.13,76,6,0.66,RU,1690661645
153,grand forks,47.9417,-97.4337,22.1,43,75,5.14,US,1690661646
154,aleksandrov gay,50.147,48.5704,23.54,54,0,3.6,RU,1690661646
155,kodinar,20.7903,70.7031,26.62,87,87,7.9,IN,1690661648
156,alice springs,-23.7,133.8833,12.75,100,100,0.0,AU,1690661648
157,colby,39.3958,-101.0524,31.01,52,0,5.66,US,1690661649
158,richards bay,-28.783,32.0377,23.51,48,9,7.86,ZA,1690661649
159,valparaiso,-33.0393,-71.6273,24.13,46,0,6.17,CL,1690661649
160,kapa'a,22.0752,-159.319,27.99,87,75,8.23,US,1690661649
161,karema,-6.8205,30.4389,22.81,57,6,0.48,TZ,1690661650
162,quellon,-43.1167,-73.6167,11.75,76,99,6.13,CL,1690661650
163,banda aceh,5.5577,95.3222,26.81,80,70,6.91,ID,1690661442
164,markovo,57.3206,107.0881,17.22,84,100,1.3,RU,1690661650
165,bethel,41.3712,-73.414,32.23,69,40,4.63,US,1690661651
166,ca mau,9.1769,105.15,25.08,90,100,2.98,VN,1690661651
167,priozersk,61.0393,30.1291,16.16,92,100,5.45,RU,1690661651
168,mount isa,-20.7333,139.5,10.87,87,13,0.0,AU,1690661651
169,prince rupert,54.3161,-130.3201,14.83,96,100,3.09,CA,1690661651
170,labrador city,52.9463,-66.9114,14.95,55,75,5.66,CA,1690661652
171,severo-yeniseyskiy,60.3725,93.0408,15.3,94,100,1.6,RU,1690661652
172,keren,15.7778,38.4581,24.26,63,8,1.49,ER,1690661652
173,borogontsy,62.6683,131.1683,13.09,76,46,0.92,RU,1690661652
174,coahuayana de hidalgo,18.7,-103.6583,35.26,50,9,3.37,MX,1690661653
175,leninskoye,41.7589,69.3864,26.16,21,0,1.92,KZ,1690661653
176,nadym,65.5333,72.5167,12.67,80,69,6.47,RU,1690661653
177,hasaki,35.7333,140.8333,25.73,93,11,5.03,JP,1690661653
178,san patricio,28.017,-97.5169,36.77,39,36,6.91,US,1690661654
179,vilyuysk,63.7553,121.6247,13.74,69,0,1.59,RU,1690661654
180,labytnangi,66.6572,66.4183,13.39,81,6,1.5,RU,1690661654
181,kerikeri,-35.2268,173.9474,8.86,79,100,1.27,NZ,1690661655
182,vigan,17.5747,120.3869,26.63,82,100,4.4,PH,1690661655
183,vostochnyy,55.8167,37.8667,15.1,94,100,2.53,RU,1690661655
184,tyukhtet,56.5389,89.3011,14.07,96,78,0.97,RU,1690661655
185,pasuquin,18.3328,120.6177,25.62,92,100,2.68,PH,1690661655
186,chonchi,-42.6128,-73.8092,12.84,79,100,4.57,CL,1690661656
187,isangel,-19.55,169.2667,19.4,65,87,4.9,VU,1690661656
188,carrigaline,51.8117,-8.3986,14.86,88,75,5.66,IE,1690661656
189,ankang,32.68,109.0172,22.83,91,26,0.37,CN,1690661539
190,illizi,26.4833,8.4667,36.89,10,0,4.41,DZ,1690661657
191,ambad,19.6167,75.8,23.06,87,74,4.82,IN,1690661657
192,victorica,-36.2151,-65.4359,23.46,24,85,7.1,AR,1690661657
193,lebu,-37.6167,-73.65,13.92,90,100,2.37,CL,1690661657
194,breckenridge,32.7557,-98.9023,39.11,21,0,4.63,US,1690661657
195,baraki barak,33.9675,68.9486,23.38,45,31,2.22,AF,1690661658
196,slavyanka,42.8633,131.3847,21.3,96,100,3.01,RU,1690661658
197,port douglas,-16.4833,145.4667,20.04,83,25,4.16,AU,1690661658
198,rongelap,11.1635,166.8941,28.39,80,100,9.74,MH,1690661658
199,inari,68.906,27.0288,13.11,98,100,4.16,FI,1690661659
200,kuching,1.55,110.3333,28.34,88,20,0.0,MY,1690661659
201,bikenibeu village,1.3673,173.1241,29.98,74,40,3.6,KI,1690661659
202,brisas de zicatela,15.8369,-97.0419,32.29,58,75,3.09,MX,1690661660
203,al bawiti,28.3492,28.8659,30.72,19,0,4.52,EG,1690661660
204,rafsanjan,30.4067,55.9939,32.49,17,4,2.57,IR,1690661660
205,fortuna,40.5982,-124.1573,22.18,68,0,6.69,US,1690661660
206,debre tabor,11.85,38.0167,13.18,87,93,0.52,ET,1690661661
207,saraktash,51.7866,51.7866,22.03,73,85,3.1,RU,1690661661
208,saint-pierre,-21.3393,55.4781,19.82,68,0,3.09,RE,1690661661
209,nacala,-14.5428,40.6728,20.73,75,0,1.98,MZ,1690661662
210,maun,-19.9833,23.4167,20.72,24,0,5.53,BW,1690661662
211,ruteng,-8.6136,120.4721,15.05,90,95,1.03,ID,1690661662
212,sharm el-sheikh,27.8518,34.305,35.08,26,0,3.09,EG,1690661518
213,auki,-8.7676,160.7034,24.4,90,100,2.66,SB,1690661663
214,turtas,58.9417,69.1325,15.57,98,33,2.71,RU,1690661663
215,namibe,-15.1961,12.1522,17.19,71,12,4.39,AO,1690661663
216,merizo village,13.2658,144.6691,26.31,77,91,1.41,GU,1690661663
217,peace river,56.2501,-117.286,23.17,43,20,6.69,CA,1690661664
218,port alfred,-33.5906,26.891,13.43,68,46,3.13,ZA,1690661664
219,zelenoborskiy,66.845,32.3622,14.22,81,100,2.95,RU,1690661664
220,floro,61.5996,5.0328,17.04,72,98,0.51,NO,1690661665
